id,name,rank,website,domain,headquarters,category,cagr
0d61755b-d657-4525-bc6f-9b1fbce28347,Simoneschi,769,,,Italy,Construction & Engineering,45.1
f8ffe90b-c546-4d2c-8a4f-fd0e0aa69815,energie+agrar,778,,,Germany,Energy & Utilities,44.7
920ff63a-7a61-4c20-8bf1-ae3573c516f9,Expotrans,788,,,Germany,Logistics & Transportation,44.3
c5f4504a-2184-4854-bed8-41f229abacf5,PySENSE,796,,,Poland,IT & Software,43.7
72a2bf80-48ec-4c32-9dbe-4957c354b894,Opéra Energie,798,,,France,Energy & Utilities,43.6
d67cb9db-41a2-4342-b4d1-35e3ea822e54,SolarXpert,803,,,Germany,Energy & Utilities,43.4
1f1a9df1-649f-4de1-a145-e6c01f572207,EsPiù,804,,,Italy,"Professional, Scientific & Technical Services",43.4
fc926992-5312-4347-a798-6230bc47c8e7,Nethive,805,,,Italy,IT & Software,43.3
221097c6-bee9-4586-b92c-e1ffedbd65f1,Autopuzz,816,,,France,Automotive,42.7
cb41423d-cd26-472f-aa71-5a973c5100cb,Looping.nl,818,,,"Netherlands, Kingdom of the",Automotive,42.4
755cc9f9-ef3a-46b0-a9c1-08967c509df5,Ifom,822,,,Italy,Education & Social Services,42.3
1426cff7-1f01-4817-ba60-e46ec0f5b4c5,S&G Solar,824,,,Bulgaria,Energy & Utilities,42.3
5138a8b5-16af-4144-a0d3-ac4f87f274d1,CRMpartners,828,,,Italy,IT & Software,42.2
acd94aff-52e3-4f95-ab4f-8ba3cdcdcc35,Schropp,829,,,Germany,Wholesale,42.2
6af84ce1-8f40-4a25-b121-181f359124f6,Eversports,831,,,Austria,IT & Software,42.1
2dfe5058-f561-4b3f-aa6c-9ebf7a33ffd1,Sallustio,833,,,Italy,Construction & Engineering,41.9
0f9f6fcd-3cb7-4338-b17c-627233220bca,NB Baumaschinen,836,,,Germany,Waste Management & recycling,41.9
45d3a946-7150-4309-9bd3-aed5251c8c39,Amexbois,846,,,France,Construction & Engineering,41.5
17ff4ab9-a5cc-415a-aacd-fdc0931c190c,Comenovo,850,,,Italy,Ecommerce,41.2
73a26815-ac86-4ebc-b4c7-5660d025962f,Avalo,857,,,Finland,IT & Software,41
c6981bed-d84f-4369-8a68-52f09960bcdd,Aptic,860,,,France,Employment Services,40.7
499d5db7-a713-474e-949f-05afd8c5cdb7,Impre.DO,862,,,Italy,Construction & Engineering,40.7
d19a6abb-f880-4fdb-a418-fb715aa4eaf2,ingage IR,865,,,United Kingdom of Great Britain and Northern Ireland,IT & Software,40.4
68671156-2796-4165-8218-f68cbfab547d,Bioburger,866,,,France,Hospitality & Travel,40.3
3479b76e-63d3-4971-b3d1-1fd380eb5cf8,DEA,867,,,Italy,Manufacturing,40.2
a77c4538-fa2c-4bd3-bdbf-c4708baa0bc9,NeoVAD,868,,,France,Wholesale,40.2
b18389cb-3b17-4174-96a2-bcc2bb89152d,team,869,,,Germany,Wholesale,40.1
33fcf181-ac9d-4963-a427-a52599448973,Bredbandsval.se,873,,,Sweden,Media & Telecommunications,40
b9c42418-d29e-4264-aa70-83533a7d416e,Keytech,875,,,Italy,IT & Software,40
8e86567d-77c4-4996-b552-a787a6a425c8,Farmed,885,,,Italy,Pharmaceuticals & Cosmetics,39.5
cad3782b-e2f7-4072-8f26-29fa05a73e10,Semes,888,,,Italy,Construction & Engineering,39.3
97dc8e6f-5383-44ed-9a62-7dd3d6a60262,Růžový slon,895,,,Czechia,Ecommerce,39
b26a6203-9637-4018-8675-d511b824d2c8,MoreToTrade,900,,,Italy,Ecommerce,38.8
c713ba1d-8fcc-48fe-ae48-e0404e48c486,Ingénierie Bois Noroy (IBN),904,,,France,Construction & Engineering,38.7
96d9a031-e20b-4d3b-aa0e-1030e082b4af,NSS,914,,,Italy,Advertising & Marketing,38.2
c8e5d5f7-a023-4da1-a017-81b23e7bbedd,Novaxia,919,,,France,Real Estate,37.9
586da24c-8961-406a-9ad1-bf131f0337aa,Magnitude,921,,,France,Management consulting,37.8
5663c4e3-c093-4b6b-b5de-fc42ac0de0e1,Seingim,931,,,Italy,Construction & Engineering,37.6
45854458-4836-45c3-ba97-f4f8e225e461,Besharp,936,,,Italy,IT & Software,37.4
cc2ff6f9-2425-48bb-bb6a-5b4d5ed91ff1,Vitamail,939,,,Norway,Ecommerce,37.4
e1a8dd7f-b078-4485-9ab6-77cd8e9f36cc,Wikicasa,940,,,Italy,IT & Software,37.3
15428a7f-41b0-4845-9bd9-f12e7a40bc84,Exacon,950,,,Italy,IT & Software,36.8
31fb6000-eb06-4f55-90ad-57340f3a49ad,Fimarsud,961,,,Italy,Retail,36.3
469b2c4e-5b0c-4ba1-a495-a6668aae6de1,M.K. Trading,967,,,Italy,Food & Beverages,35.9
94cb1399-494b-4a13-9724-e4df5173ccb0,2A Engineering,970,,,Italy,"Professional, Scientific & Technical Services",35.8
22311e3d-8176-4bfe-933f-e9b26989732c,Hydro Pipe Solutions (HPS),975,,,France,Wholesale,35.7
7faa796f-671e-40c3-94ca-d4f1620ce939,R&K Ingenieure,979,,,Germany,Construction & Engineering,35.6
ff195f53-3338-42c7-9455-571ba753223d,SVS,981,,,Italy,Construction & Engineering,35.5
17301099-9cb8-4a29-811e-380e5590f939,Semwerkt,984,,,"Netherlands, Kingdom of the",Advertising & Marketing,35.5
1c6532c0-4594-48ac-9bbd-439d5d3dbe45,Aravati,987,,,France,Employment Services,35.4
